PaperTitle,Authors (with Affiliations),AuthorNames
Density Ratio Estimation via Infinitesimal Classification,Kristy Choi (Stanford University)*; Chenlin Meng (Stanford University); Yang Song (Stanford University); Stefano  Ermon (Stanford University),"Choi, Kristy*; Meng, Chenlin; Song, Yang; Ermon, Stefano "
AdaBlock: SGD with Practical Block Diagonal Matrix Adaptation for Deep Learning,Jihun Yun (KAIST)*; Aurelie Lozano (IBM Research); Eunho Yang (KAIST;AITRICS),"Yun, Jihun*; Lozano, Aurelie; Yang, Eunho"
Scaling and Scalability: Provable Nonconvex Low-Rank Tensor Completion,Tian Tong (CMU); Cong Ma (University of Chicago); Ashley Prater-Bennette (Air Force Research Laboratory); Erin Tripp (Air Force Research Laboratory); Yuejie Chi (Carnegie Mellon University)*,"Tong, Tian; Ma, Cong; Prater-Bennette, Ashley; Tripp, Erin; Chi, Yuejie*"
Pairwise Supervision Can Provably Elicit a Decision Boundary,Han Bao (The University of Tokyo / RIKEN)*; Takuya Shimada (The University of Tokyo / RIKEN); Liyuan Xu (Gatsby Computational Neuralscience Unit); Issei Sato (The university of Tokyo/RIKEN); Masashi Sugiyama (RIKEN/The University of Tokyo),"Bao, Han*; Shimada, Takuya; Xu, Liyuan; Sato, Issei; Sugiyama, Masashi"
An Online Learning Approach to Interpolation and Extrapolation in Domain Generalization,Elan Rosenfeld (Carnegie Mellon University)*; Pradeep Ravikumar (Carnegie Mellon University); Andrej Risteski (CMU),"Rosenfeld, Elan*; Ravikumar, Pradeep; Risteski, Andrej"
On the Convergence Rate of Density Ratio Learning Based Off-Policy Policy Gradient,Jiawei Huang (University of Illinois at Urbana-Champaign)*; Nan Jiang (University of Illinois at Urbana-Champaign),"Huang, Jiawei*; Jiang, Nan"
"Loss as the Inconsistency of a Probabilistic Dependency Graph: Choose your Model, not your Loss Function",Oliver E Richardson (Cornell University)*,"Richardson, Oliver E*"
Provably Efficient Policy Optimization for Two-Player Zero-Sum Markov Games,Yulai Zhao (Tsinghua University); Yuandong Tian (Facebook); Jason Lee (Princeton); Simon Du (University of Washington)*,"Zhao, Yulai; Tian, Yuandong; Lee, Jason; Du, Simon*"
One-bit Submission for Locally Private Quasi-MLE:\\Its Asymptotic Normality and Limitation,Hajime Ono (SOKENDAI)*; Kazuhiro Minami (Institute of Statistical Mathematics); Hideitsu Hino (The Institute of Statistical Mathematics / RIKEN AIP),"Ono, Hajime*; Minami, Kazuhiro; Hino, Hideitsu"
"Noise Regularizes Over-parameterized Rank One Matrix Recovery, Provably",Tianyi Liu (Georgia Institute of Technology)*; Yan Li (Georgia Institute of Technology); Enlu Zhou (Georgia Institute of Technology); Tuo Zhao (Gatech),"Liu, Tianyi*; Li, Yan; Zhou, Enlu; Zhao, Tuo"
Robust Deep Learning from Crowds with Belief Propagation,Hoyoung Kim (POSTECH); Seunghyuk Cho (POSTECH); Dongwoo Kim (POSTECH); Jungseul Ok (POSTECH)*,"Kim, Hoyoung; Cho, Seunghyuk; Kim, Dongwoo; Ok, Jungseul*"
Sampling from Arbitrary Functions via PSD Models,"Ulysse Marteau-Ferey (INRIA)*; Francis Bach (INRIA - Ecole Normale Supérieure); Alessandro Rudi (INRIA, Ecole Normale Superieure)","Marteau-Ferey, Ulysse*; Bach, Francis; Rudi, Alessandro"
Uncertainty Quantification for Bayesian Optimization,Rui Tuo (Texas A&M University); Wenjia Wang (Hong Kong University of Science and Technology)*,"Tuo, Rui; Wang, Wenjia*"
Metalearning Linear Bandits by Prior Update,Amit Peleg (Technion Israeli Institute of Technology)*; Naama Pearl (University of Haifa); Ron Meir (Technion Israeli Institute of Technology),"Peleg, Amit*; Pearl, Naama; Meir, Ron"
Fast Rank-1 NMF for Missing Data with KL Divergence,Kazu Ghalamkari (National Institute of Informatics)*; Mahito Sugiyama (National Institute of Informatics),"Ghalamkari, Kazu*; Sugiyama, Mahito"
Randomized Stochastic Gradient Descent Ascent,"Othmane Sebbouh (ENS, CNRS, CREST-ENSAE)*; marco Cuturi (ENSAE); Gabriel Peyré (CNRS and ENS)","Sebbouh, Othmane*; Cuturi, marco; Peyré, Gabriel"
Aligned Multi-Task Gaussian Process,Olga Mikheeva (KTH Royal Institute of Technology)*; Ieva Kazlauskaite (University of Cambridge); Adam Hartshorne (University of Bath); Hedvig Kjellström (KTH Royal Institute of Technology); Carl Henrik Ek (University of Cambridge); Neill Campbell (University of Bath),"Mikheeva, Olga*; Kazlauskaite, Ieva; Hartshorne, Adam; Kjellström, Hedvig; Ek, Carl Henrik; Campbell, Neill"
Generative Models as Distributions of Functions,Emilien Dupont (University of Oxford)*; Yee Whye Teh (University of Oxford); Arnaud Doucet (Oxford University),"Dupont, Emilien*; Teh, Yee Whye; Doucet, Arnaud"
ContextGen: Targeted Data Generation for Low Resource Domain Specific Text Classification,Lukas Fromme (University of Stuttgart)*; Jasmina Bogojeska (IBM Research); Jonas Kuhn (University of Stuttgart),"Fromme, Lukas*; Bogojeska, Jasmina; Kuhn, Jonas"
Super-Acceleration with Cyclical Step-sizes,Baptiste Goujaud (Ecole Polytechnique)*; Damien Scieur (Samsung - SAIT AI Lab Montreal); Aymeric Dieuleveut (École polytechnique); Adrien B Taylor (INRIA/ENS); Fabian Pedregosa (Google),"Goujaud, Baptiste*; Scieur, Damien; Dieuleveut, Aymeric; Taylor, Adrien B; Pedregosa, Fabian"
On PAC-Bayesian reconstruction guarantees for VAEs,Badr-Eddine Chérief-Abdellatif (University of Oxford); Yuyang Shi (University of Oxford); Arnaud Doucet (Oxford University); Benjamin Guedj (Inria and University College London)*,"Chérief-Abdellatif, Badr-Eddine; Shi, Yuyang; Doucet, Arnaud; Guedj, Benjamin*"
MT3: Meta Test-Time Training for Self-Supervised Test-Time Adaption,Alexander Bartler (Institute of Signal Processing and System Theory)*; Andre Bühler (Institute of Signal Processing and System Theory); Felix Wiewel (University of Stuttgart); Mario Döbler (Institute of Signal Processing and System Theory); Bin Yang (University of Stuttgart),"Bartler, Alexander*; Bühler, Andre; Wiewel, Felix; Döbler, Mario; Yang, Bin"
Random Effect Bandits,Rong Zhu (Fudan University)*; Branislav Kveton (Amazon),"Zhu, Rong*; Kveton, Branislav"
DEANN: Speeding up Kernel-Density Estimation using Approximate Nearest Neighbor Search,Matti Karppa (IT University of Copenhagen)*; Martin Aumüller (IT University of Copenhagen); Rasmus Pagh (University of Copenhagen),"Karppa, Matti*; Aumüller, Martin; Pagh, Rasmus"
Embedded Ensembles: infinite width limit and operating regimes,Maksim Velikanov (Skolkovo Institute of Science and Technology)*; Roman V Kail (SkolTech); Ivan Anokhin (Skolkovo Institute of Science and Technology); Roman Vashurin (Skoltech); Maxim Panov (Skolkovo Institute of Science and Technology); Alexey Zaytsev (Skoltech); Dmitry Yarotsky (Skolkovo Institute of Science and Technology),"Velikanov, Maksim*; Kail, Roman V; Anokhin, Ivan; Vashurin, Roman; Panov, Maxim; Zaytsev, Alexey; Yarotsky, Dmitry"
State Dependent Performative Prediction with Stochastic Approximation,Qiang LI (The Chinese University of Hong Kong)*; Hoi-To Wai (Chinese University of Hong Kong),"LI, Qiang*; Wai, Hoi-To"
Reward-Free Policy Space Compression for Reinforcement Learning,"Mirco Mutti (Politecnico di Milano, Università di Bologna)*; Stefano Del Col (Politecnico di Milano); Marcello Restelli (Politecnico di Milano)","Mutti, Mirco*; Del Col, Stefano; Restelli, Marcello"
Nonstationary multi-output Gaussian processes via harmonizable spectral mixtures,Matias Altamirano (Universidad de Chile)*; Felipe Tobar (Universidad de Chile),"Altamirano, Matias*; Tobar, Felipe"
Learning Quantile Functions for Temporal Point Processes with Recurrent Neural Splines,Souhaib BEN TAIEB (University of Mons)*,"BEN TAIEB, Souhaib*"
Differentially Private Regression with Unbounded Covariates,Jason Milionis (Columbia University)*; Alkis Kalavasis (National Technical University of Athens); Dimitris Fotakis (National Technical University of Athens); Stratis Ioannidis (Northeastern University),"Milionis, Jason*; Kalavasis, Alkis; Fotakis, Dimitris; Ioannidis, Stratis"
Triple-Q: A Model-Free Algorithm for Constrained Reinforcement Learning with Sublinear Regret and Zero Constraint Violation,Honghao Wei (University of Michigan)*; Xin Liu (University of Michigan); Lei Ying (University of Michigan),"Wei, Honghao*; Liu, Xin; Ying, Lei"
Measuring the sensitivity of Gaussian processes to kernel choice,"William T Stephenson (MIT)*; Soumya Ghosh (IBM Research); Tin D Nguyen (MIT); Mikhail Yurochkin (IBM Research, MIT-IBM Watson AI Lab); Sameer Deshpande (MIT); Tamara Broderick (MIT)","Stephenson, William T*; Ghosh, Soumya; Nguyen, Tin D; Yurochkin, Mikhail; Deshpande, Sameer; Broderick, Tamara"
A general sample complexity analysis of vanilla policy gradient,Rui YUAN (Facebook AI Research)*; Robert M Gower (Flatiron Institute); Alessandro Lazaric (Facebook),"YUAN, Rui*; Gower, Robert M; Lazaric, Alessandro"
Pairwise Fairness for Ordinal Regression,Matthäus Kleindessner (Amazon)*; Samira Samadi (Georgia Tech); Muhammad Bilal Zafar (Amazon Web Services); Krishnaram Kenthapadi (Amazon); Chris Russell (Amazon),"Kleindessner, Matthäus*; Samadi, Samira; Zafar, Muhammad Bilal; Kenthapadi, Krishnaram; Russell, Chris"
"LIMESegment: Meaningful, Realistic Time Series Explanations",Torty Sivill (University of Bristol)*; Peter Flach (University of Bristol),"Sivill, Torty*; Flach, Peter"
A Random Matrix Perspective on Mixtures of Nonlinearities in High Dimensions,Ben Adlam (Google Brain)*; Jake Levinson (Simon Fraser University); Jeffrey Pennington (Google Brain),"Adlam, Ben*; Levinson, Jake; Pennington, Jeffrey"
Spectral Pruning for Recurrent Neural Networks,"Takashi Furuya (Hokkaido University)*; Kazuma Suetake (AISIN SOFTWARE Co., Ltd.); Koichi Taniguchi (Tohoku University); Hiroyuki Kusumoto (Nagoya University); Ryuji  Saiin (AISIN SOFTWARE Co., Ltd.); Tomohiro  Daimon (AISIN SOFTWARE Co., Ltd.)","Furuya, Takashi*; Suetake, Kazuma; Taniguchi, Koichi; Kusumoto, Hiroyuki; Saiin, Ryuji ; Daimon, Tomohiro "
"Many processors, little time: MCMC for partitions via optimal transport couplings",Tin D Nguyen (MIT)*; Brian L Trippe (MIT); Tamara Broderick (MIT),"Nguyen, Tin D*; Trippe, Brian L; Broderick, Tamara"
Sinkformers: Transformers with Doubly Stochastic Attention,Michael  E. Sander (ENS Paris)*; Pierre Ablin (CNRS and ENS); Mathieu Blondel (Google); Gabriel Peyré (CNRS and ENS),"Sander, Michael  E.*; Ablin, Pierre; Blondel, Mathieu; Peyré, Gabriel"
Finding Everything within Random Binary Networks,Kartik Sreenivasan (University of Wisconsin-Madison)*; Shashank Rajput (University of Wisconsin - Madison); Jy-yong Sohn (University of Wisconsin-Madison); Dimitris Papailiopoulos (University of Wisconsin-Madison),"Sreenivasan, Kartik*; Rajput, Shashank; Sohn, Jy-yong; Papailiopoulos, Dimitris"
Last Layer Marginal Likelihood for Invariance Learning,Pola Schwöbel (Technical University of Denmark)*; Martin Jørgensen (University of Oxford); Sebastian W Ober (University of Cambridge); Mark van der Wilk (Imperial College London),"Schwöbel, Pola*; Jørgensen, Martin; Ober, Sebastian W; van der Wilk, Mark"
Minimax Optimization: The Case of Convex-Submodular,Arman Adibi (University of Pennsylvania)*; Aryan Mokhtari (UT Austin); Hamed Hassani (University of Pennsylvania),"Adibi, Arman*; Mokhtari, Aryan; Hassani, Hamed"
Federated Learning with Buffered Asynchronous Aggregation,John Nguyen (Facebook)*; Kshitiz Malik (Facebook); Hongyuan Zhan (Facebook); Ashkan Yousefpour (Meta AI); Mike Rabbat (Facebook FAIR); Mani Malek (Facebook); Dzmitry Huba (fb.com),"Nguyen, John*; Malik, Kshitiz; Zhan, Hongyuan; Yousefpour, Ashkan; Rabbat, Mike; Malek, Mani; Huba, Dzmitry"
Bayesian Partial Identification for Multi-Treatment Inference with Unobserved Confounding,"Jiajing Zheng (University of California, Santa Barbara); Alexander D'Amour (Google Brain); Alexander Franks (UCSantaBarbara)*","Zheng, Jiajing; D'Amour, Alexander; Franks, Alexander*"
Deep Neyman--Scott Processes,"Chengkuan Hong (University of California, Riverside)*; Christian Shelton (UC Riverside)","Hong, Chengkuan*; Shelton, Christian"
CATVI: Conditional and Adaptively Truncated Variational Inference for Hierarchical Bayesian Nonparametric Models,Yirui Liu (London School of Economics and Political Science); Xinghao Qiao (London School of Economics)*; Jessica Lam (JPMorgan Chase),"Liu, Yirui; Qiao, Xinghao*; Lam, Jessica"
Certifiably Robust Variational Autoencoders,Ben Barrett (University of Oxford)*; Alexander Camuto (University of Oxford & The Alan Turing Institute); Matthew Willetts (UCL & The Alan Turing Institute); Tom Rainforth (University of Oxford),"Barrett, Ben*; Camuto, Alexander; Willetts, Matthew; Rainforth, Tom"
Practical Schemes for Finding Near-Stationary Points of Convex Finite-Sums,Kaiwen Zhou (The Chinese University of Hong Kong)*; Lai Tian (The Chinese University of Hong Kong); Anthony Man-Cho So (The Chinese University of Hong Kong); James Cheng (CUHK),"Zhou, Kaiwen*; Tian, Lai; So, Anthony Man-Cho; Cheng, James"
On Margins and Derandomisation in PAC-Bayes,Felix Biggs (University College London)*; Benjamin Guedj (Inria and University College London),"Biggs, Felix*; Guedj, Benjamin"
A Spectral Perspective of DNN Robustness to Label Noise,Oshrat Bar (Tel Aviv University); Amnon Drory (Tel-Aviv University); Raja Giryes (Tel Aviv University)*,"Bar, Oshrat; Drory, Amnon; Giryes, Raja*"
Momentum Accelerates the Convergence of Stochastic AUPRC Maximization,Guanghui  Wang (Nanjing University)*; MING YANG (ＮＯＮＥ); Lijun Zhang (Nanjing University); Tianbao Yang (University of Iowa),"Wang, Guanghui *; YANG, MING; Zhang, Lijun; Yang, Tianbao"
Computing D-Stationary Points of $\rho$-Margin Loss SVM,Lai Tian (The Chinese University of Hong Kong)*; Anthony Man-Cho So (The Chinese University of Hong Kong),"Tian, Lai*; So, Anthony Man-Cho"
A Class of Geometric Structures in Transfer Learning: Minimax Bounds and Optimality,Xuhui Zhang (Stanford University)*; Jose Blanchet (Stanford University); Soumyadip Ghosh (IBM Research AI); Mark S Squillante (IBM Research),"Zhang, Xuhui*; Blanchet, Jose; Ghosh, Soumyadip; Squillante, Mark S"
An Information-Theoretic Justification for Model Pruning,Berivan Isik (Stanford University)*; Tsachy Weissman (Stanford University); Albert No (Hongik University),"Isik, Berivan*; Weissman, Tsachy; No, Albert"
Flexible Accuracy for Differential Privacy,Aman Bansal (IIT Bombay); Rahul Chunduru (IIT Bombay); Deepesh Data (UCLA)*; Manoj Prabhakaran (IIT BOMBAY),"Bansal, Aman; Chunduru, Rahul; Data, Deepesh*; Prabhakaran, Manoj"
Nearly Minimax Optimal Regret for Learning Infinite-horizon Average-reward MDPs with Linear Function Approximation,"Yue Wu (University of California, Los Angeles); Dongruo Zhou (UCLA); Quanquan Gu (University of California, Los Angeles)*","Wu, Yue; Zhou, Dongruo; Gu, Quanquan*"
On Facility Location Problem in the Local Differential Privacy Model,Yunus Esencayi (State University of New York at Buffalo)*; Chenglin Fan (Sorbonne University); Di Wang (KAUST); Marco Gaboradi (Boston University); Vincent Cohen-Addad (Google Research); Shi Li (University at Buffalo),"Esencayi, Yunus*; Fan, Chenglin; Wang, Di; Gaboradi, Marco; Cohen-Addad, Vincent; Li, Shi"
Towards Statistical and Computational Complexities of Polyak Step Size Gradient Descent,Tongzheng Ren (UT Austin & Google Brain); Fuheng Cui (The University of Texas at Austin); Alexia Atsidakou (University of Texas at Austin); Sujay Sanghavi (UT Austin); Nhat Ho (University of Texas at Austin)*,"Ren, Tongzheng; Cui, Fuheng; Atsidakou, Alexia; Sanghavi, Sujay; Ho, Nhat*"
MLDemon:Deployment Monitoring for Machine Learning Systems,Tony Ginart (Stanford University)*; Martin Jinye Zhang (Harvard School of Public Health); James Zou (Stanford University),"Ginart, Tony*; Zhang, Martin Jinye; Zou, James"
How to Learn when Data Gradually Reacts to Your Model,Zachary Izzo (Stanford University)*; James Zou (Stanford University); Lexing Ying (Stanford University),"Izzo, Zachary*; Zou, James; Ying, Lexing"
Mitigating Bias in Calibration Error Estimation,"Rebecca Roelofs (Google); Nicholas Cain (Google)*; Jonathon Shlens (Google); Michael C Mozer (Google Research, Brain Team)","Roelofs, Rebecca; Cain, Nicholas*; Shlens, Jonathon; Mozer, Michael C"
Privacy Amplification by Subsampling in Time Domain,"Tatsuki Koga (University of California, San Diego)*; Casey  Meehan (University of California, San Diego); Kamalika Chaudhuri (University of California, San Diego)","Koga, Tatsuki*; Meehan, Casey ; Chaudhuri, Kamalika"
How and When Random Feedback Works: A Case Study of Low-Rank Matrix Factorization,Shivam Garg (Stanford University)*; Santosh Vempala (Georgia Tech),"Garg, Shivam*; Vempala, Santosh"
Gap-Dependent Unsupervised Exploration for Reinforcement Learning,Jingfeng Wu (Johns Hopkins University); Vladimir Braverman (Johns Hopkins University); Lin Yang (UCLA)*,"Wu, Jingfeng; Braverman, Vladimir; Yang, Lin*"
On the Generalization of Representations in Reinforcement Learning,"Charline Le Lan (University of Oxford)*; Stephen Tu (Google); Adam Oberman (McGill University); Rishabh Agarwal (Google Research, Brain Team); Marc G. Bellemare (Google Brain)","Le Lan, Charline*; Tu, Stephen; Oberman, Adam; Agarwal, Rishabh; G. Bellemare, Marc"
Identifiable Energy-based Representations: An Application to Estimating Heterogeneous Causal Effects,Yao Zhang (University of Cambridge)*; Jeroen Berrevoets (University of Cambridge); Mihaela van der Schaar (University of Cambridge),"Zhang, Yao*; Berrevoets, Jeroen; van der Schaar, Mihaela"
Learning a Single Neuron for Non-monotonic Activation Functions,Lei Wu (Peking University)*,"Wu, Lei*"
Can Pretext-Based Self-Supervised Learning Be Boosted by Downstream Data? A Theoretical Analysis,Jiaye Teng (Tsinghua University); Weiran Huang (Noah's Ark Lab)*; Haowei He (Tsinghua University),"Teng, Jiaye; Huang, Weiran*; He, Haowei"
Model-free Policy Learning with Reward Gradients,Qingfeng Lan (University of Alberta)*; Samuele Tosatto (University of Alberta); Homayoon Farrahi (University of Alberta); Rupam Mahmood (University of Alberta),"Lan, Qingfeng*; Tosatto, Samuele; Farrahi, Homayoon; Mahmood, Rupam"
Preference Exploration for Bayesian Optimization,Zhiyuan Jerry Lin (Meta)*; Raul Astudillo (Cornell University); Peter Frazier (Cornell University); Eytan Bakshy (Facebook),"Lin, Zhiyuan Jerry*; Astudillo, Raul; Frazier, Peter; Bakshy, Eytan"
Near-optimal Policy Optimization Algorithms for Learning Adversarial Linear Mixture MDPs,"Jiafan He (UCLA)*; Dongruo Zhou (UCLA); Quanquan Gu (University of California, Los Angeles)","He, Jiafan*; Zhou, Dongruo; Gu, Quanquan"
Lifted Primal-Dual Method for Bilinearly Coupled Smooth Minimax Optimization,Kiran K Thekumparampil (University of Illinois at Urbana-Champaign)*; Niao He (ETH Zurich); Sewoong Oh (University of Washington),"Thekumparampil, Kiran K*; He, Niao; Oh, Sewoong"
Denoising and change point localisation in piecewise-constant high-dimensional regression coefficients,Fan Wang (University of Warwick); Oscar Madrid (UCLA); Yi Yu (University of Warwick)*; Alessandro Rinaldo (Carnegie Mellon University),"Wang, Fan; Madrid, Oscar; Yu, Yi*; Rinaldo, Alessandro"
Optimal partition recovery in general graphs,Yi Yu (University of Warwick)*; Oscar Madrid (UCLA); Alessandro Rinaldo (Carnegie Mellon University),"Yu, Yi*; Madrid, Oscar; Rinaldo, Alessandro"
On Uncertainty Estimation by Tree-based Surrogate Models in Sequential Model-based Optimization,Jungtaek Kim (POSTECH)*; Seungjin Choi (BARO AI Academy),"Kim, Jungtaek*; Choi, Seungjin"
Offline Policy Selection under Uncertainty,"Mengjiao Yang (Google Brain, UC Berkeley)*; Bo Dai (Google Brain); Ofir Nachum (Google); George Tucker (Google Brain); Dale Schuurmans (Google / University of Alberta)","Yang, Mengjiao*; Dai, Bo; Nachum, Ofir; Tucker, George; Schuurmans, Dale"
On Multimarginal Partial Optimal Transport: Equivalent Forms and Computational Complexity,Huy M Nguyen (VinAI Research); Khang Le (The University of Texas at Austin); Khai Nguyen (University of Texas at Austin); Tung Pham (VinAI Research); Nhat Ho (University of Texas at Austin)*,"Nguyen, Huy M; Le, Khang; Nguyen, Khai; Pham, Tung; Ho, Nhat*"
Independent Natural Policy Gradient always converges in Markov Potential Games,"Roy Fox (UC Irvine); Stephen M McAleer (UC Irvine); Will Overman (University of California, Irvine)*; Ioannis Panageas (UC Irvine)","Fox, Roy; McAleer, Stephen M; Overman, Will*; Panageas, Ioannis"
Semi-Implicit Hybrid Gradient Methods with Application to Adversarial Robustness,Beomsu Kim (Korea Advanced Institute of Science and Technology)*; Junghoon Seo (SI Analytics),"Kim, Beomsu*; Seo, Junghoon"
Projection Predictive Inference for Generalized Linear and Additive Multilevel Models,Alejandro Catalina (Aalto University)*; Paul-Christian Bürkner (University of Stuttgart); Aki Vehtari (Aalto University),"Catalina, Alejandro*; Bürkner, Paul-Christian; Vehtari, Aki"
Point Cloud Generation with Continuous Conditioning,Larissa T Triess (Mercedes-Benz AG)*; Andre Bühler (Institute of Signal Processing and System Theory); David Peter (Robert Bosch GmbH); Fabian B. Flohr (Daimler AG); Marius Zöllner (FZI),"Triess, Larissa T*; Bühler, Andre; Peter, David; Flohr, Fabian B.; Zöllner, Marius"
An Optimal Algorithm for Strongly Convex Minimization under Affine Constraints,Adil Salim (Simons Institute); Laurent CONDAT (KAUST)*; Dmitry Kovalev (KAUST); Peter Richtarik (KAUST),"Salim, Adil; CONDAT, Laurent*; Kovalev, Dmitry; Richtarik, Peter"
CF-GNNExplainer: Counterfactual Explanations for Graph Neural Networks,Ana Lucic (University of Amsterdam)*; Maartje A ter Hoeve (University of Amsterdam); Gabriele Tolomei (Sapienza University of Rome); Maarten de Rijke (University of Amsterdam & Ahold Delhaize); Fabrizio Silvestri (Sapienza University of Rome),"Lucic, Ana*; ter Hoeve, Maartje A; Tolomei, Gabriele; de Rijke, Maarten; Silvestri, Fabrizio"
Safe Active Learning for Multi-Output Gaussian Processes,Cen-You Li (Bosch Center for Artificial Intelligence)*; Barbara Rakitsch (Bosch Center for Artificial Intelligence); Christoph Zimmer (Bosch Center for Artificial Intelligence),"Li, Cen-You*; Rakitsch, Barbara; Zimmer, Christoph"
Variational Continual Proxy-Anchor for Deep Metric Learning,Minyoung Kim (Samsung AI Center Cambridge)*; Ricardo Guerrero  (Samsung AI Center Cambridge); Hai X Pham (Samsung AI Center); Vladimir Pavlovic (Rutgers University),"Kim, Minyoung*; Guerrero , Ricardo; Pham, Hai X; Pavlovic, Vladimir"
Exploring Counterfactual Explanations Through the Lens of Adversarial Examples:  A Theoretical and Empirical Analysis,Martin Pawelczyk (University of Tuebingen); Chirag Agarwal (Harvard University); Shalmali Joshi (Harvard University (SEAS)); Sohini Upadhyay (Harvard University); Himabindu Lakkaraju (Harvard)*,"Pawelczyk, Martin; Agarwal, Chirag; Joshi, Shalmali; Upadhyay, Sohini; Lakkaraju, Himabindu*"
Variational Autoencoders:  A Harmonic Perspective,Alexander Camuto (University of Oxford & The Alan Turing Institute)*; Matthew Willetts (UCL & The Alan Turing Institute),"Camuto, Alexander*; Willetts, Matthew"
On the Consistency of Max-Margin Losses,"Alex Nowak (INRIA, Ecole Normale Supérieure)*; Alessandro Rudi (INRIA, Ecole Normale Superieure); Francis Bach (INRIA - Ecole Normale Supérieure)","Nowak, Alex*; Rudi, Alessandro; Bach, Francis"
A prior-based approximate latent Riemannian metric,"Georgios Arvanitidis (MPI for Intelligent Systems, Tübingen)*; Bogdan M Georgiev (Fraunhofer IAIS); Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen)","Arvanitidis, Georgios*; Georgiev, Bogdan M; Schölkopf, Bernhard"
On Convergence of Lookahead in Smooth Games,Junsoo Ha (Seoul National University)*; Gunhee Kim (Seoul National University),"Ha, Junsoo*; Kim, Gunhee"
Learning Proposals for Practical Energy-Based Regression,Fredrik K Gustafsson (Uppsala University)*; Martin Danelljan (ETH Zurich); Thomas  B. Schön (Uppsala University),"Gustafsson, Fredrik K*; Danelljan, Martin; Schön, Thomas  B."
Predicting the impact of treatments over time with uncertainty aware neural differential equations.,Edward De Brouwer (KU Leuven)*; Javier Gonzalez (Microsoft); Stephanie Hyland (Microsoft Research),"De Brouwer, Edward*; Gonzalez, Javier; Hyland, Stephanie"
Improved Algorithms for Misspecified Linear Markov Decision Processes,Daniel Vial (UIUC)*; Advait Parulekar (University of Texas at Austin); Sanjay Shakkottai (University of Texas at Austin); R Srikant (UIUC),"Vial, Daniel*; Parulekar, Advait; Shakkottai, Sanjay; Srikant, R"
"Synthsonic: Fast, Probabilistic modeling and Synthesis of Tabular Data",Max Baak (ING)*; Simon Brugman (ING Bank); Ilan Fridman Rojas (ING Bank); Lorraine d'Almeida (ING Bank); Ralph E.Q. Urlus (ING); Jean-Baptiste Oger (ING Bank),"Baak, Max*; Brugman, Simon; Fridman Rojas, Ilan; d'Almeida, Lorraine; Urlus, Ralph E.Q.; Oger, Jean-Baptiste"
Lagrangian manifold Monte Carlo on Monge patches,Marcelo Hartmann (University of Helsinki); Mark Girolami (University of Cambridge); Arto Klami (University of Helsinki)*,"Hartmann, Marcelo; Girolami, Mark; Klami, Arto*"
Optimal Accounting of Differential Privacy via Characteristic Function,Yuqing Zhu (UC Santa Barbara)*; Jinshuo Dong (University of Pennsylvania); Yu-Xiang Wang (UC Santa Barbara),"Zhu, Yuqing*; Dong, Jinshuo; Wang, Yu-Xiang"
Adaptive Gaussian Processes on Graphs via Spectral Graph Wavelets,Felix Opolka (University of Cambridge)*; Yin-Cong Zhi (University of Oxford); Pietro Lió (University of Cambridge); Xiaowen Dong (University of Oxford),"Opolka, Felix*; Zhi, Yin-Cong; Lió, Pietro; Dong, Xiaowen"
Bayesian Link Prediction with Deep Graph Convolutional Gaussian Processes,Felix Opolka (University of Cambridge)*; Pietro Lió (University of Cambridge),"Opolka, Felix*; Lió, Pietro"
On the Interplay between Information Loss and Operation Loss in Representations for Classification,Jorge Silva (Universidad de Chile)*; Felipe Tobar (Universidad de Chile),"Silva, Jorge*; Tobar, Felipe"
Pulling back information geometry,"Georgios Arvanitidis (MPI for Intelligent Systems, Tübingen)*; Miguel González-Duque (IT University of Copenhagen); Alison Pouplin (Technical University of Denmark); Dimitrios Kalatzis (Technical University of Denmark (DTU)); Soren Hauberg (Technical University of Denmark, Denmark)","Arvanitidis, Georgios*; González-Duque, Miguel; Pouplin, Alison; Kalatzis, Dimitrios; Hauberg, Soren"
Optimizing Early Warning Classifiers to Control False Alarms via a Minimum Precision Constraint,Preetish Rath (Tufts University)*; Michael Hughes (Tufts University),"Rath, Preetish*; Hughes, Michael"
Resampling Base Distributions of Normalizing Flows,"Vincent Stimper (University of Cambridge)*; Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen); Jose Miguel Hernandez-Lobato (University of Cambridge)","Stimper, Vincent*; Schölkopf, Bernhard; Hernandez-Lobato, Jose Miguel"
Federated Myopic Community Detection with One-shot Communication,Chuyang Ke (Purdue University)*; Jean Honorio (Purdue),"Ke, Chuyang*; Honorio, Jean"
Variational Gaussian Processes: A Functional Analysis View,George Wynne (Imperial College London)*; Veit  Wild  (University of Oxford ),"Wynne, George*; Wild , Veit "
Kernel Robust Smoothing,"Jia-Jie Zhu (Weierstrass Institute, Berlin)*; Christina Kouridi (InstaDeep Ltd); Yassine Nemmour (MPI for Intelligent Systems, Tübingen); Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen)","Zhu, Jia-Jie*; Kouridi, Christina; Nemmour, Yassine; Schölkopf, Bernhard"
