PaperTitle,Authors (with Affiliations),AuthorNames
Near-optimal Local Convergence of Alternating Gradient Descent-Ascent for Minimax Optimization,Guodong Zhang (University of Toronto)*; Yuanhao Wang (Princeton University); Laurent Lessard (Northeastern University); Roger B Grosse (University of Toronto),"Zhang, Guodong*; Wang, Yuanhao; Lessard, Laurent; Grosse, Roger B"
Optimal Compression of Locally Differentially Private Mechanisms,Abhin Shah (MIT)*; Wei-Ning Chen (Stanford University); Lucas Theis (Google); Peter Kairouz (Google); Johannes Ballé (Google),"Shah, Abhin*; Chen, Wei-Ning; Theis, Lucas; Kairouz, Peter; Ballé, Johannes"
Hierarchical Bayesian Bandits ,Joey Hong (Berkeley)*; Branislav Kveton (Amazon); Manzil Zaheer (Google Research); Mohammad Ghavamzadeh (Google Research),"Hong, Joey*; Kveton, Branislav; Zaheer, Manzil; Ghavamzadeh, Mohammad"
Complex Momentum for Optimization in Games,"Jonathan P Lorraine (University of Toronto)*; David  Acuna (University of Toronto, NVIDIA); Paul Vicol (University of Toronto); David Duvenaud (University of Toronto)","Lorraine, Jonathan P*; Acuna, David ; Vicol, Paul; Duvenaud, David"
Frequency Oracles and Heavy Hitters with Local Privacy,Hao Wu (University of Melbourne)*; Anthony Wirth (The University of Melbourne),"Wu, Hao*; Wirth, Anthony"
Tuning-Free Generalized Hamiltonian Monte Carlo,Matthew D Hoffman (Google)*; Pavel Sountsov (Google),"Hoffman, Matthew D*; Sountsov, Pavel"
Federated Functional Gradient Boosting,Zebang Shen (University of Pennsylvania)*; Hamed Hassani (University of Pennsylvania); Satyen Kale (Google); Amin Karbasi (Yale),"Shen, Zebang*; Hassani, Hamed; Kale, Satyen; Karbasi, Amin"
Generalised GPLVM with Stochastic Variational Inference,Vidhi  Lalchand (University of Cambridge )*; Aditya Ravuri (University of Cambridge); Neil D Lawrence (University of Cambridge),"Lalchand, Vidhi *; Ravuri, Aditya; Lawrence, Neil D"
Stochastic Extragradient: General Analysis and Improved Rates,"Eduard Gorbunov (Moscow Institute of Physics and Technology)*; Hugo Berard (Mila, Facebook); Gauthier Gidel (Mila); Nicolas Loizou (Johns Hopkins University)","Gorbunov, Eduard*; Berard, Hugo; Gidel, Gauthier; Loizou, Nicolas"
Deep Non-crossing Quantiles through the Partial Derivative,Axel Brando (Universitat de Barcelona (UB) and Barcelona Supercomputing Center (BSC))*; Joan Gimeno (Universitat de Barcelona); Jose Rodriguez-Serrano (BBVA Analytics SL); Jordi Vitria (Universitat de Barcelona),"Brando, Axel*; Gimeno, Joan; Rodriguez-Serrano, Jose; Vitria, Jordi"
